Airport ID,Airport Name,Airport City,Airport Country
6001,Shonai Airport,Shonai,Japan
6002,Miyakejima Airport,Miyakejima,Japan
6003,Kunsan Air Base,Kunsan,South Korea
6004,Mokpo Airport,Mokpo,South Korea
6005,Wonju Airport,Wonju,South Korea
6006,Yangyang International Airport,Sokcho / Gangneung,South Korea
6007,Sacheon Air Base,Sacheon,South Korea
6008,Cheongju International Airport,Chongju,South Korea
6009,Subic Bay International Airport,Olongapo City,Philippines
6010,Cuyo Airport,Cuyo,Philippines
6011,General Santos International Airport,General Santos City,Philippines
6012,Camiguin Airport,Camiguin,Philippines
6013,Jolo Airport,Jolo,Philippines
6014,Sanga Sanga Airport,Sanga Sanga,Philippines
6016,Surigao Airport,Sangley Point,Philippines
6017,Tandag Airport,Tandag,Philippines
6018,Naga Airport,Naga,Philippines
6019,Basco Airport,Basco,Philippines
6020,San Fernando Airport,San Fernando,Philippines
6021,Tuguegarao Airport,Tuguegarao,Philippines
6022,Virac Airport,Virac,Philippines
6023,Calbayog Airport,Calbayog City,Philippines
6024,Catarman National Airport,Catarman,Philippines
6025,Masbate Airport,Masbate,Philippines
6026,Roxas Airport,Roxas City,Philippines
6027,General Enrique Mosconi Airport,Tartagal,Argentina
6028,Las Heras Airport,Las Heras,Argentina
6029,Antoine De St Exupery Airport,San Antonio Oeste,Argentina
6030,Lago Argentino Airport,El Calafate,Argentina
6031,Gobernador Gregores Airport,Gobernador Gregores,Argentina
6032,Santa Teresita Airport,Santa Teresita,Argentina
6033,Necochea Airport,Necochea,Argentina
6034,Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Brazil
6036,Chapada Diamantina Airport,Len?�??is,Brazil
6037,Maca?? Airport,Maca??,Brazil
6038,Mar?�lia Airport,Mar?�lia,Brazil
6039,Vit??ria da Conquista Airport,Vit??ria Da Conquista,Brazil
6040,Santa Maria Airport,Santa Maria,Brazil
6041,Toledo Airport,Toledo,Brazil
6042,Ricardo Garc?�a Posada Airport,El Salvador,Chile
6043,Puc??n Airport,Pucon,Chile
6044,Sorocaba Airport,Sorocaba,Brazil
6045,San Crist??bal Airport,San Crist??bal,Ecuador
6046,Camilo Ponce Enriquez Airport,La Toma (Catamayo),Ecuador
6047,General Rivadeneira Airport,Esmeraldas,Ecuador
6048,Stanley Airport,Stanley,Falkland Islands
6049,Santa Ana Airport,Cartago,Colombia
6050,La Jagua Airport,Garz??n,Colombia
6051,Caucaya Airport,Puerto Legu?�zamo,Colombia
6052,La Pedrera Airport,La Pedrera,Colombia
6053,Reyes Murillo Airport,Nuqu?�,Colombia
6054,Obando Airport,Puerto In?�rida,Colombia
6055,El Alcarav?�n Airport,Yopal,Colombia
6056,Capit?�n de Av. Emilio Beltr?�n Airport,Guayaramer?�n,Bolivia
6057,Puerto Rico Airport,Puerto Rico/Manuripi,Bolivia
6058,Capit?�n Av. Selin Zeitun Lopez Airport,Riberalta,Bolivia
6059,Reyes Airport,Reyes,Bolivia
6060,Capit?�n Av. German Quiroga G. Airport,San Borja,Bolivia
6061,Zorg en Hoop Airport,Paramaribo,Suriname
6062,Mucuri Airport,Mucuri,Brazil
6063,Boorama Airport,Boorama,Somalia
6064,Gatokae Airport,Gatokae,Solomon Islands
6065,Caballococha Airport,Caballococha,Peru
6066,Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,Peru
6067,Alferez Fap David Figueroa Fernandini Airport,Hu?�nuco,Peru
6068,Maria Reiche Neuman Airport,Nazca,Peru
6069,Santa Rosa Airport,Santa Rosa,Brazil
6070,El Jaguel / Punta del Este Airport,Maldonado,Uruguay
6071,Escuela Mariscal Sucre Airport,Maracay,Venezuela
6072,Juan Pablo P??rez Alfonso Airport,El Vig?�a,Venezuela
6073,Ji-Paran?� Airport,Ji-Paran?�,Brazil
6074,Codrington Airport,Codrington,Antigua and Barbuda
6075,La D??sirade Airport,Grande Anse,Guadeloupe
6076,Baillif Airport,Basse Terre,Guadeloupe
6077,St-Fran?�ois Airport,St-Fran?�ois,Guadeloupe
6078,Les Bases Airport,Grand Bourg,Guadeloupe
6079,Vance Winkworth Amory International Airport,Charlestown,Saint Kitts and Nevis
6080,Virgin Gorda Airport,Spanish Town,British Virgin Islands
6081,J F Mitchell Airport,Bequia,Saint Vincent and the Grenadines
6082,Union Island International Airport,Union Island,Saint Vincent and the Grenadines
6083,Kokshetau Airport,Kokshetau,Kazakhstan
6084,Petropavlosk South Airport,Petropavlosk,Kazakhstan
6085,Zhezkazgan Airport,Zhezkazgan,Kazakhstan
6086,Ust Kamenogorsk Airport,Ust Kamenogorsk,Kazakhstan
6088,Kostanay West Airport,Kostanay,Kazakhstan
6089,Ganja Airport,Ganja,Azerbaijan
6090,Nakhchivan Airport,Nakhchivan,Azerbaijan
6091,Chulman,Neryungri,Russia
6092,Poliarny Airport,Yakutia,Russia
6093,Chokurdakh Airport,Chokurdah,Russia
6094,Cherskiy Airport,Cherskiy,Russia
6095,Tiksi Airport,Tiksi,Russia
6096,Moyo Airport,Moyo,Uganda
6097,Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,Russia
6098,Ugolny Airport,Anadyr,Russia
6099,Okhotsk Airport,Okhotsk,Russia
6100,Ujae Atoll Airport,Ujae Atoll,Marshall Islands
6101,Mariupol International Airport,Mariupol International,Ukraine
